iter	MultiClass
256	0.3552379445
257	0.3541309047
258	0.3536046161
259	0.3529714238
260	0.3520597999
261	0.3512403149
262	0.350240395
263	0.3490104895
264	0.3478353858
265	0.3470831178
266	0.3461999687
267	0.3455822279
268	0.3449779434
269	0.3440494449
270	0.3428939805
271	0.3417974219
272	0.3407590466
273	0.3395446405
274	0.3384642057
275	0.3369641801
276	0.3359730779
277	0.3353555605
278	0.3343535892
279	0.3339956598
280	0.3330632644
281	0.3315037192
282	0.3303275388
283	0.329725014
284	0.3290404215
285	0.3285591501
286	0.3279287438
287	0.3270426276
288	0.3264102876
289	0.3255635649
290	0.3243603434
291	0.3233531464
292	0.3225636098
293	0.3215436037
294	0.3209933299
295	0.3199793081
296	0.3195664648
297	0.3182900516
298	0.3176206405
299	0.3164156509
300	0.3159233614
301	0.315305799
302	0.3147366106
303	0.3136414028
304	0.3126585415
305	0.3115032292
306	0.3110845351
307	0.3107158351
308	0.3098853846
309	0.3093790814
310	0.3084457114
311	0.3078895317
312	0.3071283384
313	0.3061311496
314	0.3055375766
315	0.3045390202
316	0.3041700276
317	0.3030858118
318	0.3020766584
319	0.3014075491
320	0.2997638507
321	0.2989444993
322	0.2986056136
323	0.2978591008
324	0.2967080257
325	0.295552587
326	0.2944144359
327	0.2936185147
328	0.2928209823
329	0.2925819782
330	0.2921926235
331	0.2909881185
332	0.2904490144
333	0.2894040856
334	0.2888661394
335	0.2876949792
336	0.2865240529
337	0.2859413808
338	0.2853912488
339	0.2849168837
340	0.2835812531
341	0.2826349583
342	0.2820535237
343	0.281540563
344	0.2806267114
345	0.2800228563
346	0.2792806574
347	0.2784499145
348	0.2776136713
349	0.2770650721
350	0.2762743575
351	0.2753599938
352	0.2747083732
353	0.2742051425
354	0.2732586041
355	0.272222915
356	0.2719574945
357	0.2715136664
358	0.2709238471
359	0.2705623189
360	0.2700215416
361	0.2694310482
362	0.2689639648
363	0.2680983839
364	0.2676939017
365	0.2674171093
366	0.2671503046
367	0.2666222207
368	0.2661316294
369	0.2654973759
370	0.2645907929
371	0.2642535746
372	0.2636666968
373	0.2631265942
374	0.2626464569
375	0.2617876631
376	0.261118859
377	0.2604436556
378	0.259700894
379	0.2589147549
380	0.2586642929
381	0.2582847336
382	0.2576460758
383	0.2571179266
384	0.256611999
385	0.2561205067
386	0.2557018123
387	0.254830235
388	0.2543940897
389	0.2536526086
390	0.2527162953
391	0.2521133337
392	0.251715112
393	0.2511378597
394	0.250561135
395	0.2498459093
396	0.249147182
397	0.2483954252
398	0.2477727549
399	0.24725083
400	0.2465741745
401	0.2457642543
402	0.2452374925
403	0.2448076363
404	0.2442629624
405	0.2438019125
406	0.2431980711
407	0.2429818311
408	0.2421978616
409	0.2417145386
410	0.2412194326
411	0.2405424225
412	0.2400342231
413	0.2395081406
414	0.238870151
415	0.238468452
416	0.2376163847
417	0.2371535157
418	0.2368227644
419	0.2362880783
420	0.2357158106
421	0.2354668728
422	0.2348927361
423	0.2344087248
424	0.2340053915
425	0.2332579748
426	0.2327123248
427	0.232432453
428	0.232136551
429	0.231391027
430	0.2309879549
431	0.230838916
432	0.2303441634
433	0.2295635376
434	0.2289049935
435	0.2279248473
436	0.2275013991
437	0.2270416422
438	0.2265894047
439	0.2256159192
440	0.2250302576
441	0.2247040383
442	0.2243466015
443	0.2239047503
444	0.2234509461
445	0.2230321101
446	0.2225841456
447	0.2220735156
448	0.2217162428
449	0.2214375449
450	0.2211499345
451	0.2205915159
452	0.220083456
453	0.2194531957
454	0.2191998523
455	0.2190060808
456	0.2181771662
457	0.2177661882
458	0.2172391167
459	0.2168565812
460	0.2162081471
461	0.2157594198
462	0.2153158976
463	0.2147192978
464	0.2144409455
465	0.2143097654
466	0.2138173218
467	0.2133741602
468	0.2131145414
469	0.2126515315
470	0.2120500627
471	0.2114931448
472	0.2110652698
473	0.2107163332
474	0.2101935008
475	0.2097226262
476	0.2093390584
477	0.2087612626
478	0.2081615298
479	0.2075420776
480	0.2069434261
481	0.2067079188
482	0.2061347558
483	0.2056275843
484	0.2047861436
485	0.2043217246
486	0.2040739434
487	0.2036763372
488	0.2031491626
489	0.2025462831
490	0.2020236211
491	0.2016564319
492	0.2014281152
493	0.2011844127
494	0.2008352554
495	0.2003857468
496	0.2000220552
497	0.199706978
498	0.1990486321
499	0.1988750968
500	0.198158957
501	0.1979337916
502	0.197132701
503	0.1967113046
504	0.1964676038
505	0.1958368381
506	0.1957096561
507	0.195276946
508	0.1950163795
509	0.1946889404
510	0.1943986478
511	0.1940839992
512	0.1935097104
513	0.1933463172
514	0.1928965987
515	0.1922313804
516	0.1920113035
517	0.1917281146
518	0.191390652
519	0.1907479646
520	0.1903742367
521	0.1900181351
522	0.18982809
523	0.1894042508
524	0.1891915164
525	0.188628293
526	0.1879187926
527	0.1874553945
528	0.1868672681
529	0.1864852409
530	0.1860599175
531	0.185794727
532	0.1856313581
533	0.1854062316
534	0.1851451267
535	0.1849478936
536	0.1846875815
537	0.1844357434
538	0.1842351822
539	0.1838783861
540	0.1834195482
541	0.1830624492
542	0.1828984755
543	0.1825495192
544	0.181958899
545	0.181685753
546	0.1811420317
547	0.1808536501
548	0.1806015434
549	0.1803823595
550	0.1800636401
551	0.1797857266
552	0.1793558846
553	0.1790333704
554	0.1786193412
555	0.1779964632
556	0.1776364013
557	0.1773705801
558	0.1769811136
559	0.1765960286
560	0.1764517374
561	0.1760010284
562	0.1757744784
563	0.1752286391
564	0.1747447411
565	0.1746145078
566	0.1744170303
567	0.1740936668
568	0.1735806944
569	0.1734170827
570	0.173148809
571	0.1727096039
572	0.1724207879
573	0.1720759301
574	0.1717280214
575	0.1715063047
576	0.170772988
577	0.1705359192
578	0.1702963435
579	0.169950755
580	0.1696003118
581	0.1694059555
582	0.1690315733
583	0.1687249642
584	0.1683618033
585	0.1679962138
586	0.1676045834
587	0.1674015087
588	0.1672774601
589	0.167149165
590	0.1666870864
591	0.1665290046
592	0.1663618342
593	0.1659553127
594	0.1654103139
595	0.1649789693
596	0.1645665303
597	0.1642137644
598	0.163888209
599	0.1634467534
600	0.1629887203
601	0.1626600433
602	0.1625325809
603	0.1623583291
604	0.1620191748
605	0.1617671169
606	0.1615790763
607	0.161341139
608	0.1610662452
609	0.1608608776
610	0.1604664436
611	0.1600310998
612	0.1597447347
613	0.1595206228
614	0.1593724899
615	0.1590434526
616	0.1588355051
617	0.1587124916
618	0.1584765907
619	0.1581716402
620	0.1579205891
621	0.1575866822
622	0.1573878421
623	0.1570656598
624	0.1568493842
625	0.1565372628
626	0.1562540926
627	0.1559981342
628	0.1558241774
629	0.1555980006
630	0.1554131465
631	0.1552607242
632	0.1550370585
633	0.1547275291
634	0.1543903423
635	0.1540437109
636	0.1538477728
637	0.1537020311
638	0.1534040526
639	0.1532824158
640	0.1528988274
641	0.1524044071
642	0.1522872434
643	0.1521614071
644	0.1520039805
645	0.151815309
646	0.1514170671
647	0.1511552383
648	0.1507259105
649	0.1504257018
650	0.1502477011
651	0.1498515063
652	0.1496776916
653	0.1494741138
654	0.1492864285
655	0.1491256672
656	0.14866019
657	0.1485274528
658	0.1483373786
659	0.1481812329
660	0.1480320638
661	0.1479157801
662	0.1477835967
663	0.147420915
664	0.1470476885
665	0.1467490083
666	0.146555598
667	0.1462809654
668	0.146159932
669	0.1459245129
670	0.1457701343
671	0.1454988004
672	0.1452315791
673	0.1449764404
674	0.1446177317
675	0.1441401708
676	0.1437671866
677	0.1432752407
678	0.1430529579
679	0.1426937799
680	0.1425791151
681	0.1423204324
682	0.1421358142
683	0.1418262575
684	0.1415838517
685	0.1412888859
686	0.1411180192
687	0.140767385
688	0.140493221
689	0.1403744412
690	0.1400677243
691	0.1398270094
692	0.1396427033
693	0.1393688848
694	0.1391270367
695	0.1389746106
696	0.1388202545
697	0.1386951366
698	0.1384362132
699	0.1381578807
700	0.1378342764
701	0.137607781
702	0.1370480544
703	0.1367857915
704	0.1365589213
705	0.1363101291
706	0.1361798398
707	0.1356526685
708	0.1353327447
709	0.1351556114
710	0.1348008061
711	0.1344426308
712	0.134302698
713	0.1341276001
714	0.1339598206
715	0.133840552
716	0.1335680853
717	0.1334816506
718	0.1332145358
719	0.133057394
720	0.1328673439
721	0.1325260131
722	0.1321607274
723	0.1317633147
724	0.1314818574
725	0.1313071161
726	0.1310739569
727	0.1308805942
728	0.1307366798
729	0.1306416198
730	0.1303477409
731	0.130178348
732	0.1300455471
733	0.1298926839
734	0.129673342
735	0.1293085971
736	0.1289605801
737	0.1287089653
738	0.128507144
739	0.128307564
740	0.1281372817
741	0.1279001392
742	0.1277059357
743	0.1275917315
744	0.1273628068
745	0.1273010319
746	0.127162892
747	0.1270476804
748	0.1268600069
749	0.1264920073
750	0.1263768127
751	0.1262389367
752	0.1261413642
753	0.1258131855
754	0.1256711745
755	0.1254960906
756	0.125372368
757	0.12519737
758	0.1248768333
759	0.1247415421
760	0.124668033
761	0.1245702021
762	0.1244088319
763	0.1242234903
764	0.1240988247
765	0.1239036169
766	0.123687061
767	0.1234370558
768	0.1232136851
769	0.1230298626
770	0.1229715567
771	0.1227859251
772	0.1224848492
773	0.1221878779
774	0.1219639949
775	0.1218032101
776	0.1215926518
777	0.1215184623
778	0.1212851147
779	0.1211496516
780	0.1209968621
781	0.1207321342
782	0.1205716941
783	0.1204237158
784	0.1202916981
785	0.120125266
786	0.1199283226
787	0.1197945656
788	0.1195648305
789	0.1193637766
790	0.1189884324
791	0.1188932141
792	0.1185082796
793	0.1183736084
794	0.1182229361
795	0.1180833695
796	0.1178207189
797	0.1177799085
798	0.1175327322
799	0.1174070202
800	0.1172170862
801	0.1171198937
802	0.1169778705
803	0.1168575509
804	0.1167181232
805	0.1165955672
806	0.1163645966
807	0.116229931
808	0.1161180833
809	0.1160701101
810	0.1159351074
811	0.1158581233
812	0.1155750296
813	0.1152347922
814	0.114862458
815	0.1147334882
816	0.114636282
817	0.1144071849
818	0.1142131869
819	0.1141656597
820	0.1140132017
821	0.1138689534
822	0.1137228182
823	0.1135697674
824	0.1134778076
825	0.1134053633
826	0.1133094056
827	0.1131934896
828	0.113084333
829	0.112871291
830	0.1127185188
831	0.1125036708
832	0.1123975691
833	0.1123476604
834	0.1122396295
835	0.1120060662
836	0.1118387765
837	0.1117396022
838	0.1114106878
839	0.1112470807
840	0.1111431449
841	0.1107648309
842	0.1106147929
843	0.1104288672
844	0.1102256876
845	0.1099537879
846	0.1098697228
847	0.1097762733
848	0.1094820101
849	0.1094060184
850	0.1092319206
851	0.1091156135
852	0.1090503535
853	0.1089809443
854	0.1087467489
855	0.1086765522
856	0.1085347068
857	0.1084310693
858	0.1082767081
859	0.1081577641
860	0.1078968578
861	0.1076374297
862	0.1074739621
863	0.107254407
864	0.1071674589
865	0.1070999909
866	0.1068972122
867	0.1068081208
868	0.1067317098
869	0.106564146
870	0.1063542635
871	0.1061882215
872	0.106045572
873	0.1058780262
874	0.1056285668
875	0.1054370576
876	0.1053607944
877	0.1052832383
878	0.1052514438
879	0.1051741461
880	0.1050169016
881	0.1049371966
882	0.1048056849
883	0.1046573748
884	0.1045911343
885	0.1043809101
886	0.104280093
887	0.1041393551
888	0.1040808475
889	0.103832021
890	0.1036769647
891	0.1035628854
892	0.1033748898
893	0.1031539288
894	0.1030565463
895	0.102985698
896	0.102931343
897	0.1028139441
898	0.1027494776
899	0.1024262685
