iter	Passed	Remaining
408	5763	1282
409	5772	1267
410	5783	1252
411	5795	1237
412	5806	1223
413	5817	1208
414	5828	1193
415	5838	1179
416	5848	1164
417	5858	1149
418	5869	1134
419	5879	1119
420	5891	1105
421	5900	1090
422	5912	1076
423	5922	1061
424	5932	1046
425	5944	1032
426	5952	1017
427	5963	1003
428	5974	988
429	5983	974
430	5993	959
431	6004	945
432	6014	930
433	6025	916
434	6035	901
435	6044	887
436	6055	872
437	6066	858
438	6078	844
439	6090	830
440	6101	816
441	6111	801
442	6122	787
443	6133	773
444	6143	759
445	6153	745
446	6166	731
447	6176	716
448	6187	702
449	6198	688
450	6212	674
451	6225	661
452	6239	647
453	6250	633
454	6262	619
455	6272	605
456	6282	591
457	6293	577
458	6308	563
459	6327	550
460	6341	536
461	6352	522
462	6371	509
463	6382	495
464	6393	481
465	6405	467
466	6416	453
467	6425	439
468	6435	425
469	6446	411
470	6457	397
471	6466	383
472	6477	369
473	6488	355
474	6500	342
475	6510	328
476	6518	314
477	6529	300
478	6540	286
479	6552	273
480	6564	259
481	6575	245
482	6588	231
483	6598	218
484	6608	204
485	6618	190
486	6629	176
487	6639	163
488	6648	149
489	6659	135
490	6670	122
491	6681	108
492	6692	95
493	6703	81
494	6713	67
495	6725	54
496	6736	40
497	6748	27
498	6761	13
499	6774	0
